Date,Driver,Age,Team,Circuit,PitStopTime,ReactionTime,FinalPosition,DNF,Points,MaxSpeed,Overtakes,Experience,DriverSkill,CarPerformance,TrackFamiliarity,WeatherCondition,TyreCompound,EngineMode,QualifyingPosition,TyreWear,FuelConsumption,DownforceLevel
2016-09-10,Perez,35,Williams,Melbourne,2.651,0.4255576911761214,3.0,0,15,330.6,11.881566273274903,15,83.81566273274902,84.54225143749218,9.511200415082616,Mixed,Hard,6.442242189805108,9.0,20.656289102756453,1.7588862193329833,942.4233194718569
2023-02-16,Alonso,26,Alpine,Silverstone,2.55,0.42353299828147195,3.0,0,15,314.4,9.537805113215429,9,75.37805113215428,81.10122161322897,9.046864619565856,Mixed,Soft,2.3735398783934687,8.0,62.64641788758129,1.4986825828611934,1021.1073384253496
2010-01-12,Ricciardo,31,Williams,Melbourne,3.187,0.4867461124342426,6.0,0,8,330.4,8.878437360374045,11,68.78437360374045,99.91855308350588,8.255174311207107,Mixed,Hard,1.3563472644090886,10.0,30.83523956850382,1.4310784551377893,944.8351627129789
2022-12-05,Ricciardo,26,Williams,Spa,3.358,0.4736036900948215,20.0,1,0,303.2,7.891215345473766,9,68.91215345473766,87.18244318949101,9.866782252962647,Wet,Hard,1.2359607927781222,10.0,34.1071234216607,1.37836505841241,1041.0439509910625
2018-07-18,Bottas,26,Ferrari,Montreal,3.18,0.47016821505869505,6.0,0,8,330.9,8.473529836012833,7,64.73529836012834,95.81614864267436,7.015550624648182,Mixed,Medium,6.3465972414485,10.0,58.55733101352066,1.73819051401681,903.9793345482636
2014-05-26,Bottas,34,Red Bull,Silverstone,2.653,0.5069628590503402,4.0,0,12,316.6,7.4602679277359325,11,69.60267927735933,83.98471797227242,6.778093843745468,Mixed,Hard,2.727085128040869,9.0,39.847668120394744,1.5372047035333407,967.5620432329816
2010-10-12,Alonso,29,Mercedes,Singapore,2.337,0.4644457873783131,5.0,0,10,330.7,6.615542983973626,11,66.15542983973626,83.85662179322921,5.6969100597405244,Dry,Medium,2.978046024408525,10.0,71.47788533909628,1.5266856653451404,907.6136469417763
2021-10-05,Norris,31,Williams,Monaco,2.53,0.46501242335970755,6.0,0,8,353.7,8.583934643109316,16,75.83934643109316,86.55443432562475,0.8225203960608274,Mixed,Soft,9.23106619186076,10.0,80.65231997224947,1.9494514965629508,891.4912496760169
2013-05-26,Norris,25,Haas,Spa,3.542,0.493284293769188,5.0,0,10,334.2,9.654460304708607,8,71.54460304708607,91.92112909813534,3.1645712638089654,Dry,Hard,1.6589500640358201,11.0,45.076707159064455,1.5063898812650676,931.1757034843765
2018-09-10,Vettel,26,Haas,Monaco,3.057,0.4721853179591508,5.0,0,10,345.7,7.114132917156356,4,61.141329171563555,85.29288496414213,1.974808079698691,Mixed,Hard,2.3369014969922275,10.0,33.78345789520811,1.5678371288870592,909.116095940883
2015-08-15,Verstappen,22,Haas,Interlagos,3.366,0.4369884188401949,20.0,1,0,331.2,12.949433856011382,10,79.49433856011382,99.86871097106061,2.8444314212520827,Wet,Medium,7.926848166437111,8.0,65.50663665911249,1.7409314174249482,928.5646736745109
2010-12-14,Hamilton,33,Haas,Montreal,2.533,0.49415725011360045,6.0,0,8,328.8,9.766643723679497,5,52.66643723679498,94.4588466899486,3.89687720718894,Dry,Medium,1.8805149649536972,9.0,69.4209075864475,1.530513716190464,941.5473180230344
2013-08-31,Perez,25,Aston Martin,Monaco,3.295,0.41973774153939114,20.0,1,0,330.4,9.307592863131159,9,78.07592863131158,83.76039899699566,8.820273912561111,Wet,Hard,7.884206437982149,11.0,34.08172709821619,1.7636721663984447,928.3426837146163
2020-11-04,Vettel,23,Haas,Montreal,3.667,0.45914600242645787,6.0,0,8,338.2,5.600891870842657,3,56.00891870842657,84.55804219334014,0.5759009213416,Dry,Hard,2.372294634896161,10.0,22.295248479757838,1.5062775858877593,936.6678937467683
2023-03-31,Leclerc,28,McLaren,Silverstone,3.001,0.44763832829452765,20.0,1,0,342.1,8.795366211226495,13,72.95366211226495,94.08461989957651,5.2623366640074245,Mixed,Soft,4.593613824706482,9.0,97.15416768065666,1.6998476543112127,910.3042948993938
2011-08-21,Hamilton,32,Alfa Romeo,Monza,2.846,0.43881065738407654,1.0,0,25,322.7,11.884434296729392,14,78.84434296729391,92.97126986513481,5.760977756355378,Dry,Medium,4.013187494796959,8.0,54.264949252365085,1.561229848124516,974.9221852879667
2015-01-30,Perez,30,Mercedes,Singapore,3.244,0.43181724743670524,20.0,1,0,333.3,9.046682351376559,12,75.46682351376559,81.68978037127627,8.107501453391976,Wet,Hard,5.550827698525275,11.0,54.361460026199474,1.7149687889362706,928.7480264478343
2020-07-11,Leclerc,22,AlphaTauri,Monza,2.133,0.4360839013595957,1.0,0,25,331.8,11.209317225789533,19,92.09317225789533,94.12248490251135,1.9911007868234554,Dry,Soft,3.571028488377381,8.0,61.00474012843415,1.5671978871985672,926.9391726276981
2016-12-07,Vettel,26,McLaren,Silverstone,2.769,0.46356492974084995,7.0,0,6,336.2,10.712954396766234,10,62.12954396766234,86.93760988832936,8.430779436421144,Mixed,Hard,6.142664930894229,11.0,22.55260477654229,1.7089470241478681,961.0745522371708
2012-10-05,Sainz,21,Aston Martin,Melbourne,3.713,0.46571194542910216,6.0,0,8,330.5,7.073473696050405,7,55.734736960504044,84.93408335867865,7.417957070922951,Dry,Medium,6.540856885294096,11.0,62.12601445364848,1.7018109127259993,923.5122671246876
2014-11-10,Bottas,27,Mercedes,Interlagos,3.4,0.4661160446343578,8.0,0,4,320.9,7.0617239000968635,6,65.61723900096864,86.2802291180345,4.544309719950606,Mixed,Medium,4.575792870810837,11.0,62.04709462189493,1.5959016728777855,962.1734928746671
2020-01-24,Alonso,32,Aston Martin,Suzuka,3.187,0.5397982874377216,9.0,0,2,334.5,7.140478789940479,3,46.404787899404795,93.22330363383327,8.252248807792315,Dry,Soft,5.259427111232907,11.0,66.24112211474471,1.7064155381986372,936.0628559696048
2023-08-08,Vettel,21,McLaren,Montreal,2.646,0.49012747591062744,20.0,1,0,317.8,9.666283969880968,9,71.66283969880968,83.59205868890777,6.5213314056836005,Wet,Soft,8.79055910092666,9.0,92.23521201401888,1.8124932973264374,1011.0268530868802
2011-07-25,Alonso,26,Haas,Suzuka,2.972,0.4565201942266243,5.0,0,10,324.9,8.066940811625718,6,65.66940811625719,97.08878504247303,8.387650583722749,Dry,Soft,2.1745351431986566,11.0,72.97394755961622,1.519314309077399,922.7578109748933
2011-01-10,Hamilton,26,Aston Martin,Interlagos,3.995,0.41709247517149334,20.0,1,0,331.3,12.134964258006871,14,76.34964258006872,85.99164425894043,4.78039760357115,Wet,Soft,2.17424079734222,9.0,99.42066057582178,1.573583375645275,920.8225780681088
2013-06-17,Bottas,33,Aston Martin,Silverstone,2.373,0.4332763489959818,6.0,0,8,324.3,10.133321738689858,17,81.33321738689858,99.12456204394705,4.423947473687825,Dry,Soft,8.467230269355284,10.0,66.37060457125588,1.7547933325742593,958.026989833976
2021-04-29,Ricciardo,21,Ferrari,Monza,2.988,0.4084077667527995,5.0,0,10,336.8,8.392765282035047,17,78.92765282035046,92.26363546593676,1.9016972550992284,Dry,Medium,6.890858826373577,9.0,74.82746777952157,1.7937327260331257,958.9873653873091
2016-11-23,Bottas,24,McLaren,Silverstone,2.171,0.45348052404225125,20.0,1,0,339.2,8.191887654866918,13,71.91887654866918,84.0553926891085,1.9672861534364938,Wet,Hard,2.7499080495602914,10.0,25.147804761057206,1.5681102893887107,911.2403101314168
2010-05-17,Leclerc,25,Haas,Interlagos,3.199,0.44970279472641783,20.0,1,0,327.3,13.223732236569179,17,97.23732236569178,88.04492366728348,1.539701134097614,Wet,Soft,5.918829201854624,9.0,72.41863769403614,1.6797394315408716,941.5444380990648
2023-08-31,Perez,30,AlphaTauri,Abu Dhabi,3.223,0.4863483913570135,8.0,0,4,321.8,6.803609386178354,9,63.03609386178354,83.33340152798884,9.576352530868315,Dry,Hard,6.386483126072305,11.0,29.14295438538352,1.6772137513950496,950.4034654026527
2015-03-19,Bottas,25,Red Bull,Monaco,3.127,0.4747255971989233,7.0,0,6,348.5,8.746288100205163,1,52.462881002051624,97.69028337464374,3.8717585384310347,Mixed,Hard,5.832709904015144,9.0,25.13377105244667,1.7493263519709508,910.8052832191701
2012-02-17,Verstappen,23,Aston Martin,Montreal,2.619,0.49846683711519946,20.0,1,0,330.7,10.60624325740409,12,71.0624325740409,86.74688534122785,9.49365466816204,Wet,Hard,6.058431863932562,9.0,42.205386379299256,1.631699490200429,966.0047183759364
2016-09-18,Vettel,22,Red Bull,Abu Dhabi,2.573,0.4985603994576166,6.0,0,8,328.7,8.149240584423016,7,66.49240584423015,84.07627117693988,3.101509508960445,Mixed,Soft,5.765594866724062,11.0,88.5459142313119,1.6853254040370274,924.2145310679995
