Date,Driver,Age,Team,Circuit,PitStopTime,ReactionTime,FinalPosition,DNF,Points,MaxSpeed,Overtakes,Experience,DriverSkill,CarPerformance,TrackFamiliarity,EngineMode,QualifyingPosition,TyreWear,FuelConsumption,DownforceLevel,FinalRaceTime,TrackTemperature,WeatherCondition_Mixed,WeatherCondition_Wet,TyreCompound_Medium,TyreCompound_Soft,TrackGrip_Low,TrackGrip_Medium
2016-09-10,Perez,35,Williams,Melbourne,2.651,0.4255576911761214,3.0,0,15,330.6,11.881566273274904,15,83.81566273274902,84.54225143749218,9.511200415082616,6.442242189805108,9.0,20.656289102756453,1.7588862193329833,942.4233194718568,266.92397955898866,29.36350297118406,1,0,0,0,0,1
2023-02-16,Alonso,26,Alpine,Silverstone,2.55,0.4235329982814719,3.0,0,15,314.4,9.537805113215429,9,75.37805113215428,81.10122161322897,9.046864619565856,2.3735398783934687,8.0,62.64641788758129,1.4986825828611934,1021.1073384253496,255.6180995574123,43.76785766024791,1,0,0,1,0,1
2010-01-12,Ricciardo,31,Williams,Melbourne,3.187,0.4867461124342426,6.0,0,8,330.4,8.878437360374045,11,68.78437360374045,99.91855308350588,8.255174311207107,1.3563472644090886,10.0,30.83523956850382,1.4310784551377893,944.8351627129788,267.816011973237,38.29984854528513,1,0,0,0,0,1
2022-12-05,Ricciardo,26,Williams,Spa,3.358,0.4736036900948215,20.0,1,0,303.2,7.891215345473766,9,68.91215345473766,87.18244318949101,9.866782252962649,1.2359607927781222,10.0,34.1071234216607,1.37836505841241,1041.0439509910625,276.78795941068023,34.96646210492592,0,1,0,0,0,0
2018-07-18,Bottas,26,Ferrari,Montreal,3.18,0.470168215058695,6.0,0,8,330.9,8.473529836012833,7,64.73529836012834,95.81614864267436,7.015550624648182,6.3465972414485,10.0,58.55733101352066,1.73819051401681,903.9793345482636,269.02388233799604,23.900466011060917,1,0,1,0,0,1
2014-05-26,Bottas,34,Red Bull,Silverstone,2.653,0.5069628590503402,4.0,0,12,316.6,7.4602679277359325,11,69.60267927735933,83.98471797227242,6.778093843745468,2.727085128040869,9.0,39.84766812039474,1.5372047035333407,967.5620432329816,279.8589241765123,23.899863008405067,1,0,0,0,1,0
2010-10-12,Alonso,29,Mercedes,Singapore,2.337,0.4644457873783131,5.0,0,10,330.7,6.615542983973626,11,66.15542983973626,83.85662179322921,5.6969100597405244,2.978046024408525,10.0,71.47788533909628,1.5266856653451404,907.6136469417764,261.5817972271138,21.452090304204987,0,0,1,0,0,0
2021-10-05,Norris,31,Williams,Monaco,2.53,0.4650124233597075,6.0,0,8,353.7,8.583934643109316,16,75.83934643109316,86.55443432562475,0.8225203960608274,9.23106619186076,10.0,80.65231997224947,1.9494514965629508,891.4912496760169,255.87773984948615,41.654403644373375,1,0,0,1,0,0
2013-05-26,Norris,25,Haas,Spa,3.542,0.493284293769188,5.0,0,10,334.2,9.654460304708609,8,71.54460304708607,91.92112909813534,3.1645712638089654,1.65895006403582,11.0,45.076707159064455,1.5063898812650676,931.1757034843764,258.5749901486697,35.02787529358022,0,0,0,0,0,0
2018-09-10,Vettel,26,Haas,Monaco,3.057,0.4721853179591508,5.0,0,10,345.7,7.114132917156356,4,61.14132917156356,85.29288496414213,1.974808079698691,2.3369014969922275,10.0,33.78345789520811,1.5678371288870592,909.116095940883,258.2699231656849,37.70181444490114,1,0,0,0,0,1
2015-08-15,Verstappen,22,Haas,Interlagos,3.366,0.4369884188401949,20.0,1,0,331.2,12.949433856011382,10,79.49433856011382,99.8687109710606,2.8444314212520827,7.926848166437111,8.0,65.50663665911249,1.7409314174249482,928.5646736745108,274.9508992420537,20.514612357395063,0,1,1,0,0,1
2010-12-14,Hamilton,33,Haas,Montreal,2.533,0.4941572501136004,6.0,0,8,328.8,9.766643723679495,5,52.66643723679498,94.4588466899486,3.89687720718894,1.8805149649536967,9.0,69.4209075864475,1.530513716190464,941.5473180230344,260.0212764902081,44.247746304049855,0,0,1,0,0,1
2013-08-31,Perez,25,Aston Martin,Monaco,3.295,0.4197377415393911,20.0,1,0,330.4,9.30759286313116,9,78.07592863131158,83.76039899699566,8.820273912561111,7.884206437982149,11.0,34.08172709821619,1.7636721663984447,928.3426837146164,271.4962342829753,40.81106602001054,0,1,0,0,0,0
2020-11-04,Vettel,23,Haas,Montreal,3.667,0.4591460024264578,6.0,0,8,338.2,5.600891870842657,3,56.00891870842657,84.55804219334014,0.5759009213416,2.372294634896161,10.0,22.29524847975784,1.5062775858877593,936.6678937467684,255.09998545585492,25.308477766956905,0,0,0,0,0,0
2023-03-31,Leclerc,28,McLaren,Silverstone,3.001,0.4476383282945276,20.0,1,0,342.1,8.795366211226495,13,72.95366211226495,94.08461989957652,5.2623366640074245,4.593613824706482,9.0,97.15416768065666,1.6998476543112129,910.3042948993938,260.8028736709321,24.54562418017752,1,0,0,1,1,0
2011-08-21,Hamilton,32,Alfa Romeo,Monza,2.846,0.4388106573840765,1.0,0,25,322.7,11.884434296729392,14,78.84434296729391,92.9712698651348,5.760977756355378,4.013187494796959,8.0,54.264949252365085,1.561229848124516,974.9221852879668,270.10799735471414,24.585112746335845,0,0,1,0,1,0
2015-01-30,Perez,30,Mercedes,Singapore,3.244,0.4318172474367052,20.0,1,0,333.3,9.04668235137656,12,75.46682351376559,81.68978037127627,8.107501453391976,5.550827698525275,11.0,54.361460026199474,1.7149687889362706,928.7480264478344,273.73131581961843,27.60605607398844,0,1,0,0,0,1
2020-07-11,Leclerc,22,AlphaTauri,Monza,2.133,0.4360839013595957,1.0,0,25,331.8,11.209317225789531,19,92.09317225789532,94.12248490251136,1.991100786823456,3.571028488377381,8.0,61.00474012843415,1.5671978871985672,926.939172627698,254.55966686824223,33.11891079080595,0,0,0,1,0,0
2016-12-07,Vettel,26,McLaren,Silverstone,2.769,0.4635649297408499,7.0,0,6,336.2,10.712954396766234,10,62.12954396766234,86.93760988832936,8.430779436421144,6.142664930894229,11.0,22.55260477654229,1.708947024147868,961.0745522371708,263.90179806074434,30.798625466052894,1,0,0,0,0,0
2012-10-05,Sainz,21,Aston Martin,Melbourne,3.713,0.4657119454291021,6.0,0,8,330.5,7.073473696050405,7,55.73473696050405,84.93408335867865,7.417957070922951,6.540856885294096,11.0,62.12601445364848,1.7018109127259993,923.5122671246876,265.90667142173606,27.28072850495105,0,0,1,0,1,0
2014-11-10,Bottas,27,Mercedes,Interlagos,3.4,0.4661160446343578,8.0,0,4,320.9,7.061723900096864,6,65.61723900096864,86.2802291180345,4.544309719950606,4.575792870810837,11.0,62.04709462189493,1.5959016728777855,962.1734928746672,270.50697067467104,35.296322368059485,1,0,1,0,0,1
2020-01-24,Alonso,32,Aston Martin,Suzuka,3.187,0.5397982874377216,9.0,0,2,334.5,7.140478789940479,3,46.4047878994048,93.22330363383328,8.252248807792315,5.259427111232907,11.0,66.24112211474471,1.7064155381986372,936.0628559696048,257.546674381468,23.487346516301045,0,0,0,1,0,1
2023-08-08,Vettel,21,McLaren,Montreal,2.646,0.4901274759106274,20.0,1,0,317.8,9.666283969880968,9,71.66283969880968,83.59205868890777,6.5213314056836005,8.79055910092666,9.0,92.23521201401888,1.8124932973264367,1011.0268530868802,268.90506145269785,27.30361621338045,0,1,0,1,0,0
2011-07-25,Alonso,26,Haas,Suzuka,2.972,0.4565201942266243,5.0,0,10,324.9,8.066940811625718,6,65.66940811625719,97.08878504247303,8.387650583722749,2.1745351431986566,11.0,72.97394755961622,1.519314309077399,922.7578109748932,254.02476664412345,29.159046082342293,0,0,0,1,0,0
2011-01-10,Hamilton,26,Aston Martin,Interlagos,3.995,0.4170924751714933,20.0,1,0,331.3,12.134964258006873,14,76.34964258006872,85.99164425894043,4.78039760357115,2.17424079734222,9.0,99.42066057582178,1.573583375645275,920.8225780681088,262.78725642202454,31.4017496054259,0,1,0,1,0,0
2013-06-17,Bottas,33,Aston Martin,Silverstone,2.373,0.4332763489959818,6.0,0,8,324.3,10.133321738689858,17,81.33321738689858,99.12456204394704,4.423947473687825,8.467230269355284,10.0,66.37060457125588,1.7547933325742593,958.026989833976,252.97972952743297,39.62939903482534,0,0,0,1,0,1
2021-04-29,Ricciardo,21,Ferrari,Monza,2.988,0.4084077667527995,5.0,0,10,336.8,8.392765282035047,17,78.92765282035046,92.26363546593676,1.9016972550992284,6.890858826373577,9.0,74.82746777952157,1.7937327260331255,958.9873653873092,258.58189217507464,24.991844553958995,0,0,1,0,0,1
2016-11-23,Bottas,24,McLaren,Silverstone,2.171,0.4534805240422512,20.0,1,0,339.2,8.191887654866918,13,71.91887654866918,84.0553926891085,1.9672861534364936,2.7499080495602914,10.0,25.14780476105721,1.5681102893887109,911.2403101314168,274.8578777476316,32.855860960340294,0,1,0,0,1,0
2010-05-17,Leclerc,25,Haas,Interlagos,3.199,0.4497027947264178,20.0,1,0,327.3,13.22373223656918,17,97.23732236569178,88.04492366728348,1.539701134097614,5.918829201854624,9.0,72.41863769403614,1.6797394315408716,941.5444380990648,278.2272259946349,34.81036422155106,0,1,0,1,1,0
2023-08-31,Perez,30,AlphaTauri,Abu Dhabi,3.223,0.4863483913570135,8.0,0,4,321.8,6.803609386178354,9,63.03609386178354,83.33340152798884,9.576352530868316,6.386483126072305,11.0,29.14295438538352,1.6772137513950496,950.4034654026528,257.4727744412025,21.161260317999943,0,0,0,0,0,0
2015-03-19,Bottas,25,Red Bull,Monaco,3.127,0.4747255971989233,7.0,0,6,348.5,8.746288100205163,1,52.46288100205162,97.69028337464374,3.871758538431034,5.832709904015144,9.0,25.13377105244667,1.7493263519709508,910.80528321917,263.63734858456274,35.18862129753596,1,0,0,0,0,0
2012-02-17,Verstappen,23,Aston Martin,Montreal,2.619,0.4984668371151994,20.0,1,0,330.7,10.60624325740409,12,71.0624325740409,86.74688534122785,9.49365466816204,6.058431863932562,9.0,42.205386379299256,1.631699490200429,966.0047183759364,269.4918792448018,24.263103092182288,0,1,0,0,0,0
2016-09-18,Vettel,22,Red Bull,Abu Dhabi,2.573,0.4985603994576166,6.0,0,8,328.7,8.149240584423016,7,66.49240584423015,84.07627117693988,3.101509508960445,5.765594866724062,11.0,88.5459142313119,1.6853254040370274,924.2145310679996,269.02094594807386,21.62628982463199,1,0,0,1,0,0
2019-09-07,Norris,29,McLaren,Interlagos,3.15,0.5137294351810837,20.0,1,0,315.1,5.535943282878495,2,50.35943282878495,94.26767705493172,2.533238630792307,9.52914254102243,9.0,23.94448932890775,1.7397279900994504,979.7999345082404,277.31445311785785,43.722138431333335,0,1,0,0,0,1
2020-12-08,Ricciardo,31,Red Bull,Silverstone,3.172,0.4394855494017942,20.0,1,0,316.1,10.342882383601978,15,78.42882383601977,91.08051451613204,1.3840913059350046,5.515429721119052,9.0,94.48298971805994,1.6117021477147888,995.9592775087189,260.42810257331354,44.14080082686398,0,0,0,1,0,1
2010-02-03,Sainz,35,Ferrari,Suzuka,3.304,0.4724848576036475,20.0,1,0,340.4,8.69584794220925,12,61.958479422092495,91.10917799672583,5.279658587017909,4.827427329315873,9.0,55.337698804296686,1.6659984365241578,879.9125376692392,260.9007080793784,40.20993370291153,0,1,0,0,0,0
2020-03-25,Ricciardo,35,Ferrari,Monaco,3.2,0.4735556717944029,20.0,1,0,325.9,9.543558409976058,14,80.43558409976058,92.66897543562348,1.317336173910748,4.812366039545337,9.0,90.57958590942329,1.688733963343446,972.5220649095372,260.4029496949462,27.61534422933427,1,0,0,1,0,0
2014-04-01,Ricciardo,23,Williams,Spa,3.144,0.437896598564082,4.0,0,12,333.6,10.158676646885294,9,71.58676646885294,90.71541028395596,7.927207170722382,4.366496467037677,10.0,83.55947948800042,1.6799654462454845,960.1992583533352,268.02188355059326,22.4418028501596,0,0,0,1,1,0
2019-05-22,Alonso,30,Alpine,Melbourne,2.669,0.4613877037529602,4.0,0,12,334.0,9.019267826850626,11,65.19267826850627,96.1975565972898,1.5962256722253687,9.78029927724235,9.0,60.22426690646616,1.9695824476001207,942.8366755444122,261.14554609695654,37.10582566280392,1,0,0,1,0,1
2017-06-21,Vettel,29,Haas,Spa,3.159,0.4579645118943993,2.0,0,18,335.5,11.759549192371498,19,77.59549192371497,97.32047453941344,1.7149434701432509,9.990776437223154,8.0,41.73177266071376,2.0019354066793253,892.5798764296974,274.42683002380323,31.003812343490036,1,0,0,0,1,0
2012-04-02,Vettel,28,Haas,Interlagos,3.55,0.4550987631067826,20.0,1,0,354.8,6.838502928363202,14,73.38502928363202,85.59479550740656,7.166084530225456,9.4914061887071,11.0,98.18497807481094,1.9014599038683777,859.335215492533,254.27591436883017,23.05095587111947,1,0,0,1,0,0
2012-02-29,Sainz,32,Alpine,Monaco,2.738,0.4916701990535119,4.0,0,12,341.6,7.284807459745618,6,57.84807459745618,87.23255510490172,8.83966273947998,5.634390303131476,9.0,63.94269318383394,1.7011390008933944,900.6238703379545,271.2298237880106,32.37942275278176,1,0,1,0,0,1
2023-04-04,Sainz,37,Alfa Romeo,Singapore,2.907,0.4287982431384117,20.0,1,0,330.8,12.253380314900996,17,92.53380314900996,99.76412251553649,3.16547524705987,1.593269830841122,6.0,52.176110987750334,1.4582327907788686,937.162680947418,287.18553366391416,20.85971302788046,0,1,1,0,1,0
2017-02-19,Bottas,31,Aston Martin,Suzuka,3.25,0.489948138633585,20.0,1,0,324.9,7.702670840524762,3,57.02670840524762,87.85647284854906,3.401501389105672,4.077473354144935,10.0,63.71085924197288,1.570597019197119,935.8861088226638,270.3858556900063,42.73301005196955,0,1,1,0,0,1
2010-10-20,Vettel,36,Alfa Romeo,Suzuka,2.704,0.5366676490994418,5.0,0,10,320.6,8.877123972203767,5,58.77123972203768,85.50916814096522,4.565626075583564,1.205084013180148,10.0,51.86436149070445,1.3359888427805768,950.7997555527304,268.24206246199606,26.469499540000424,1,0,0,0,0,1
2018-09-04,Leclerc,30,Red Bull,Abu Dhabi,2.839,0.4997991465852801,20.0,1,0,331.8,6.267109618644005,1,52.67109618644005,87.54300362977399,5.959775025554231,6.4523297685501975,10.0,72.19955965090485,1.7526193206220386,973.3546643784558,280.30246381926105,36.56305710884955,0,1,1,0,0,1
2012-08-02,Perez,36,Red Bull,Silverstone,2.588,0.4692281149436756,4.0,0,12,321.3,10.047453242944847,19,80.47453242944849,98.6231234459605,1.634972465713922,7.345341588630504,8.0,44.88225172426843,1.7220474891467217,950.3080432931232,275.89894419331824,27.792776902235275,1,0,1,0,1,0
2019-10-25,Alonso,36,Red Bull,Abu Dhabi,3.29,0.4766253079543101,4.0,0,12,325.0,8.115413083660595,5,66.15413083660594,80.00429427993782,1.072840136196277,3.687193247259743,9.0,63.20725187824996,1.5415551151539877,942.9789198397284,261.4354447848169,33.00170052944527,1,0,0,1,0,1
2016-02-07,Sainz,18,AlphaTauri,Abu Dhabi,3.51,0.4189646924287296,2.0,0,18,337.7,11.256887748003448,16,82.56887748003449,87.3918339766075,4.7607515602883455,3.365550798415687,8.0,59.642917653622575,1.566305356875977,925.2588280907296,254.27890236698343,33.667756983581995,0,0,1,0,0,1
2017-08-07,Vettel,28,Williams,Montreal,2.816,0.4859455623754393,2.0,0,18,325.6,13.136876297467532,6,61.36876297467532,97.4779549301302,4.822770456727145,1.6852536642682705,10.0,32.56534963500878,1.517646608087187,980.8144290425832,263.53787274747674,24.621361388138176,0,0,0,0,0,1
2011-04-03,Vettel,36,Alfa Romeo,Melbourne,3.217,0.506916017745065,8.0,0,4,323.6,6.444742247565211,10,64.4474224756521,97.76107012977263,5.550452185684797,6.560386693619604,10.0,40.47742793857487,1.764537222788228,950.509793423714,251.2818050907115,44.239615694113965,0,0,1,0,0,1
2015-05-18,Hamilton,19,AlphaTauri,Melbourne,3.066,0.4543572630643427,2.0,0,18,334.9,13.164690080237149,16,81.64690080237148,80.67182808123391,2.310778066906635,3.537326450070061,8.0,69.18229053498881,1.6298303660063491,943.518982916581,248.2099921799748,39.37832058402786,0,0,1,0,0,0
2021-01-28,Perez,21,Mercedes,Spa,3.373,0.4590404493290929,5.0,0,10,327.4,8.564847331988625,9,65.64847331988625,98.15025557536666,2.4824610359325128,2.3530952858680187,10.0,88.97774356228439,1.5402590602758743,938.4560971941352,251.016175135374,43.48747353910473,0,0,0,1,0,1
2010-03-13,Verstappen,19,Haas,Singapore,2.876,0.4073722080635137,20.0,1,0,344.9,10.318758704053971,14,78.18758704053974,86.2371229238579,1.960851395718116,3.454516169167517,7.0,65.89701985246323,1.6732492266938332,881.5823519708574,263.1154096103757,42.37068376069122,0,1,1,0,0,1
2023-01-07,Ricciardo,25,Alpine,Interlagos,2.911,0.4221179688655971,3.0,0,15,328.2,11.030284870986216,17,95.30284870986216,91.1760389122518,5.27887228876621,3.2729303130669787,9.0,81.68058255237338,1.51138445293557,953.612462834868,256.6644506425245,34.94749947027713,1,0,0,1,0,0
2019-07-20,Perez,24,Williams,Montreal,3.072,0.5009778234044256,20.0,1,0,318.6,8.48200133612275,7,59.82001336122749,92.26919916855674,7.689382389991195,5.21531897730523,7.0,98.08956181197836,1.6248314611122423,940.8006307728364,263.7540452813459,43.04685587557792,1,0,0,1,0,1
2015-12-18,Norris,32,Aston Martin,Interlagos,3.08,0.4745187666386489,20.0,1,0,319.7,7.333440872632494,10,68.33440872632494,87.9756660739666,4.827458100542586,8.208603553066277,9.0,95.60813537900744,1.703310147605703,956.1933531664492,272.45065558137566,22.212312551297988,0,0,0,1,1,0
2019-07-05,Norris,32,Mercedes,Silverstone,4.278,0.4485136075112278,20.0,1,0,333.7,9.054374419232037,13,75.54374419232037,87.63668113660937,3.884576149631883,2.1252912013000045,11.0,96.59639816836749,1.4964720900828534,945.8328646032944,269.0032940622343,24.89957156047863,0,1,0,1,1,0
2016-11-11,Bottas,37,Mercedes,Silverstone,3.2,0.5097940114336916,9.0,0,2,348.6,5.911995778572878,2,49.11995778572879,94.62503971667344,4.324634788021051,5.009233804691601,12.0,62.91113917563561,1.7685422579526855,910.826714776089,266.2920096589684,21.13068222276345,0,0,1,0,0,1
2014-12-29,Bottas,29,AlphaTauri,Suzuka,2.594,0.4592879276733335,6.0,0,8,329.6,8.565467941087668,9,65.65467941087668,92.97354742332392,4.186362039226683,5.769456896743821,10.0,44.98279472009296,1.7228527537533107,933.2181720412226,262.05006703851024,28.133258269081608,0,0,0,0,0,1
2022-07-05,Ricciardo,29,McLaren,Monza,2.758,0.5101527130677341,9.0,0,2,330.1,5.006404485256903,1,45.06404485256903,86.53716645053316,7.86028984368123,7.983493472138818,11.0,71.61230168831166,1.7551078531200544,955.5044753175514,266.98514161540226,29.71693224223705,1,0,1,0,0,1
2018-01-24,Sainz,31,Alpine,Monza,2.596,0.5180805372693634,9.0,0,2,338.4,6.754626840352861,2,47.54626840352861,85.6179531895005,7.899284511459669,2.495318504272905,12.0,79.30824593875967,1.5462343871465505,919.9811403617196,274.91653859168093,26.7837257943474,1,0,1,0,1,0
2021-02-19,Norris,27,Ferrari,Singapore,2.588,0.4321405680904113,1.0,0,25,315.6,11.441420482852193,13,79.41420482852193,98.49406140279872,6.001840441235648,1.6638102905519627,7.0,81.9592236079589,1.357770913385214,958.1776234093064,255.8186242328688,40.71843772879824,0,0,0,1,1,0
2015-12-03,Perez,27,Red Bull,Abu Dhabi,2.607,0.4518050003455632,3.0,0,15,321.8,10.799761688324647,16,82.99761688324647,90.81400870077952,3.998142405293078,5.028070039966302,9.0,87.30810581910185,1.6203275985316927,951.2237911002978,268.5942237558193,28.91883316733973,1,0,0,1,1,0
2020-11-24,Vettel,19,Mercedes,Singapore,3.124,0.4404155953315494,4.0,0,12,321.0,11.684489306956502,9,76.84489306956502,90.19300855130416,9.350045375132604,8.561582377607678,10.0,21.379005075113607,1.8128216854508568,936.1194758687492,264.97875662973763,27.02336274218452,0,0,0,0,0,1
2022-08-18,Ricciardo,31,Ferrari,Monaco,2.96,0.4288498231272408,3.0,0,15,346.3,9.432932723670644,12,84.32932723670642,95.48964428247145,2.682940368792006,2.5810701947759496,10.0,67.53575628509243,1.6133079750014756,897.2797741552325,259.1971460081973,33.56740207895621,0,0,1,0,0,1
2014-09-22,Vettel,22,Williams,Silverstone,2.616,0.3965364264960622,5.0,0,10,338.3,9.49228746885478,19,79.92287468854781,84.96046338219499,5.081406503661613,5.179894842211337,9.0,45.47787482959788,1.6841625145181238,919.7293759122356,263.3873773758838,23.523105624369062,1,0,1,0,0,1
2011-06-29,Alonso,23,AlphaTauri,Abu Dhabi,3.598,0.4254536425574611,20.0,1,0,318.3,10.670354069493758,19,91.70354069493756,98.70055125816704,0.2772094759617882,4.093185332675089,7.0,24.20691418874613,1.6019861562474316,975.1248126676778,283.7382620217268,40.054924518851,0,1,0,0,0,1
2016-12-06,Bottas,27,McLaren,Spa,2.783,0.4801343370241203,20.0,1,0,343.7,6.1095943297495925,2,61.09594329749593,92.5032904894724,2.1560855051004824,1.1747080422295109,10.0,69.72401882663823,1.4671976237084083,927.907672494394,265.56173516494425,21.863766091994272,0,1,0,1,0,0
2019-11-09,Sainz,30,Aston Martin,Abu Dhabi,2.972,0.4236496091761402,2.0,0,18,340.1,10.321111163564671,12,73.21111163564672,86.10154017505312,7.518495932642864,7.302068592016575,8.0,67.17684437228962,1.744092387088336,903.766496219804,258.03418921273897,44.672173415012935,1,0,1,0,0,1
